article_key,editorial_status,local_verified_commit,work_record
analytics-reporting-attribution/analytics-overview.md,local_verified,a395a2b,docs/editorial-work/analytics-overview.md
analytics-reporting-attribution/campaign-reporting.md,local_verified,a7b70ad,docs/editorial-work/campaign-reporting.md
analytics-reporting-attribution/dashboard-guide.md,pending,,
analytics-reporting-attribution/data-completeness-and-reporting-gaps.md,local_verified,78ef2a9,docs/editorial-work/data-completeness-and-reporting-gaps.md
analytics-reporting-attribution/demand-insights-guide.md,local_verified,47079f9,docs/editorial-work/demand-insights-guide.md
analytics-reporting-attribution/performance-report-guide.md,local_verified,8f9d6ea,docs/editorial-work/performance-report-guide.md
analytics-reporting-attribution/playbook-reporting.md,local_verified,389869f,docs/editorial-work/playbook-reporting.md
analytics-reporting-attribution/revenue-report-guide.md,pending,,
analytics-reporting-attribution/sales-attribution.md,local_verified,fece70b,docs/editorial-work/sales-attribution.md
analytics-reporting-attribution/service-quality-report-guide.md,pending,,docs/editorial-work/service-quality-report-guide.md
analytics-reporting-attribution/tracked-links.md,pending,,
analytics-reporting-attribution/workload-capacity-report-guide.md,pending,,
audience/audience-overview.md,local_verified,9deb417eb970a3039e59522a1d50e53bd61498af,docs/editorial-work/audience-overview.md
audience/consent-and-subscriber-status.md,pending,,
audience/custom-properties-and-events.md,pending,,
audience/customer-profiles.md,pending,,
audience/data-privacy-requests.md,pending,,
audience/exporting-data.md,pending,,
audience/import-customer-profiles.md,pending,,
audience/lists-and-segments.md,pending,,
audience/lists.md,pending,,
audience/personalization-tags.md,pending,,
audience/segments.md,local_verified,0623597,docs/editorial-work/segments-pilot.md
billing/billing-overview.md,pending,,
billing/billing-settings-and-invoices.md,pending,,
billing/billing-troubleshooting.md,pending,,
billing/change-or-cancel-your-plan.md,pending,,
billing/fair-use-message-policy.md,pending,,
billing/how-pricing-works.md,pending,,
billing/performance-fee-calculation.md,pending,,
billing/sms-pricing-and-number-types.md,pending,,
billing/understanding-plan-quotas.md,pending,,
billing/whatsapp-fees.md,pending,,
campaigns/campaign-best-practices.md,pending,,
campaigns/campaigns-overview.md,pending,,
campaigns/creating-a-campaign.md,pending,,
captures/capture-overview.md,pending,,
captures/forms.md,pending,,
captures/property-collector-playbook.md,pending,,
captures/qr-codes.md,pending,,
captures/shareable-link.md,pending,,
captures/shopify-checkout.md,pending,,
captures/subscriber-booster-playbook.md,pending,,
captures/webchat-widget-playbook.md,pending,,
captures/website-popup.md,pending,,
captures/wix-checkout.md,pending,,
developers/api.md,out_of_scope,,
developers/coupons-with-api.md,pending,,
developers/custom-actions.md,pending,,
developers/custom-store-integration.md,pending,,
developers/developers-overview.md,pending,,
developers/external-tracking.md,pending,,
developers/objects.md,pending,,
developers/orders-with-api.md,pending,,
developers/products-and-inventory-with-api.md,pending,,
developers/send-messages-with-api.md,pending,,
developers/send-sms-with-api.md,pending,,
developers/setup-push-with-hellotext-js.md,pending,,
developers/templates-with-api.md,pending,,
developers/tracking-events.md,pending,,
developers/tracking-on-campaigns-and-journeys.md,pending,,
developers/tracking-unidentified-customers.md,pending,,
